FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 5.636998e-01 	 5.198760e-01 	  4.760523e-01 	 1.086612e+00
9.000254e+02 	 5.682890e-01 	 5.244653e-01 	  4.806416e-01 	 1.153530e+00
8.100456e+02 	 5.739336e-01 	 5.301099e-01 	  4.862861e-01 	 1.230914e+00
7.290616e+02 	 5.808702e-01 	 5.370464e-01 	  4.932227e-01 	 1.319930e+00
6.561739e+02 	 5.893854e-01 	 5.455616e-01 	  5.017379e-01 	 1.421824e+00
5.905732e+02 	 5.998246e-01 	 5.560009e-01 	  5.121772e-01 	 1.537949e+00
5.315308e+02 	 6.126017e-01 	 5.687780e-01 	  5.249543e-01 	 1.669787e+00
4.783912e+02 	 6.282085e-01 	 5.843848e-01 	  5.405610e-01 	 1.818981e+00
4.305642e+02 	 6.472237e-01 	 6.034000e-01 	  5.595763e-01 	 1.987368e+00
3.875187e+02 	 6.703195e-01 	 6.264958e-01 	  5.826721e-01 	 2.176988e+00
3.487767e+02 	 6.982630e-01 	 6.544392e-01 	  6.106155e-01 	 2.390078e+00
3.139079e+02 	 7.319083e-01 	 6.880846e-01 	  6.442609e-01 	 2.628982e+00
2.825250e+02 	 7.721751e-01 	 7.283514e-01 	  6.845276e-01 	 2.895973e+00
2.542797e+02 	 8.200028e-01 	 7.761791e-01 	  7.323553e-01 	 3.192904e+00
2.288582e+02 	 8.762722e-01 	 8.324485e-01 	  7.886248e-01 	 3.520647e+00
2.059782e+02 	 9.416798e-01 	 8.978560e-01 	  8.540323e-01 	 3.878262e+00
1.853856e+02 	 1.016550e+00 	 9.727263e-01 	  9.289026e-01 	 4.261887e+00
1.668517e+02 	 1.100576e+00 	 1.056752e+00 	  1.012929e+00 	 4.663378e+00
1.501708e+02 	 1.192488e+00 	 1.148663e+00 	  1.104839e+00 	 5.068907e+00
1.351575e+02 	 1.289993e+00 	 1.245848e+00 	  1.201703e+00 	 5.457861e+00
1.216452e+02 	 1.388808e+00 	 1.344015e+00 	  1.299222e+00 	 5.802696e+00
1.094837e+02 	 1.482841e+00 	 1.437061e+00 	  1.391281e+00 	 6.070667e+00
9.853815e+01 	 1.564543e+00 	 1.517428e+00 	  1.470313e+00 	 6.228502e+00
8.868683e+01 	 1.626131e+00 	 1.577330e+00 	  1.528529e+00 	 6.250726e+00
7.982040e+01 	 1.661918e+00 	 1.611098e+00 	  1.560279e+00 	 6.130960e+00
7.184038e+01 	 1.671340e+00 	 1.618228e+00 	  1.565116e+00 	 5.892249e+00
6.465817e+01 	 1.660561e+00 	 1.605012e+00 	  1.549463e+00 	 5.587757e+00
5.819399e+01 	 1.638852e+00 	 1.580964e+00 	  1.523076e+00 	 5.281657e+00
