FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 6.016777e-01 	 5.262995e-01 	  4.509213e-01 	 1.305221e+00
9.000254e+02 	 6.080094e-01 	 5.326312e-01 	  4.572530e-01 	 1.407058e+00
8.100456e+02 	 6.157158e-01 	 5.403376e-01 	  4.649594e-01 	 1.521554e+00
7.290616e+02 	 6.250685e-01 	 5.496903e-01 	  4.743121e-01 	 1.649652e+00
6.561739e+02 	 6.363814e-01 	 5.610032e-01 	  4.856250e-01 	 1.792346e+00
5.905732e+02 	 6.500127e-01 	 5.746345e-01 	  4.992563e-01 	 1.950719e+00
5.315308e+02 	 6.663653e-01 	 5.909871e-01 	  5.156089e-01 	 2.125970e+00
4.783912e+02 	 6.858854e-01 	 6.105072e-01 	  5.351290e-01 	 2.319466e+00
4.305642e+02 	 7.090576e-01 	 6.336794e-01 	  5.583012e-01 	 2.532768e+00
3.875187e+02 	 7.363973e-01 	 6.610191e-01 	  5.856409e-01 	 2.767656e+00
3.487767e+02 	 7.684386e-01 	 6.930604e-01 	  6.176822e-01 	 3.026114e+00
3.139079e+02 	 8.029530e-01 	 7.303391e-01 	  6.577253e-01 	 3.310281e+00
2.825250e+02 	 8.436364e-01 	 7.733684e-01 	  7.031003e-01 	 3.622332e+00
2.542797e+02 	 8.908998e-01 	 8.226053e-01 	  7.543107e-01 	 3.964287e+00
2.288582e+02 	 9.450527e-01 	 8.784039e-01 	  8.117550e-01 	 4.337719e+00
2.059782e+02 	 1.006239e+00 	 9.409495e-01 	  8.756602e-01 	 4.743341e+00
1.853856e+02 	 1.074346e+00 	 1.010168e+00 	  9.459902e-01 	 5.180444e+00
1.668517e+02 	 1.148890e+00 	 1.085608e+00 	  1.022326e+00 	 5.646166e+00
1.501708e+02 	 1.228862e+00 	 1.166290e+00 	  1.103718e+00 	 6.134615e+00
1.351575e+02 	 1.312575e+00 	 1.250551e+00 	  1.188527e+00 	 6.635928e+00
1.216452e+02 	 1.397530e+00 	 1.335912e+00 	  1.274293e+00 	 7.135519e+00
1.094837e+02 	 1.480388e+00 	 1.419048e+00 	  1.357707e+00 	 7.613947e+00
9.853815e+01 	 1.557162e+00 	 1.495984e+00 	  1.434805e+00 	 8.048056e+00
8.868683e+01 	 1.623734e+00 	 1.562611e+00 	  1.501487e+00 	 8.413985e+00
7.982040e+01 	 1.676673e+00 	 1.615501e+00 	  1.554328e+00 	 8.691849e+00
7.184038e+01 	 1.713918e+00 	 1.652596e+00 	  1.591274e+00 	 8.869743e+00
6.465817e+01 	 1.734374e+00 	 1.672802e+00 	  1.611230e+00 	 8.941747e+00
5.819399e+01 	 1.735475e+00 	 1.673553e+00 	  1.611630e+00 	 8.895145e+00
5.237607e+01 	 1.710011e+00 	 1.647639e+00 	  1.585267e+00 	 8.694226e+00
4.713979e+01 	 1.647569e+00 	 1.584650e+00 	  1.521732e+00 	 8.289300e+00
4.242700e+01 	 1.545473e+00 	 1.481923e+00 	  1.418373e+00 	 7.674828e+00
3.818538e+01 	 1.420730e+00 	 1.356481e+00 	  1.292231e+00 	 6.948720e+00
3.436781e+01 	 1.300391e+00 	 1.235408e+00 	  1.170426e+00 	 6.257112e+00
3.093190e+01 	 1.197958e+00 	 1.132259e+00 	  1.066560e+00 	 5.672156e+00
2.783950e+01 	 1.113101e+00 	 1.046774e+00 	  9.804459e-01 	 5.194195e+00
2.505625e+01 	 1.015908e+00 	 9.491261e-01 	  8.823446e-01 	 4.677651e+00
2.255126e+01 	 8.814678e-01 	 8.144992e-01 	  7.475305e-01 	 4.002939e+00
2.029671e+01 	 7.640704e-01 	 6.972514e-01 	  6.304324e-01 	 3.434388e+00
1.826755e+01 	 6.681828e-01 	 6.018598e-01 	  5.355368e-01 	 2.986697e+00
1.644126e+01 	 5.548713e-01 	 4.892943e-01 	  4.237174e-01 	 2.455721e+00
1.479755e+01 	 4.451255e-01 	 3.803106e-01 	  3.154957e-01 	 1.931183e+00
1.331817e+01 	 3.680792e-01 	 3.036824e-01 	  2.392857e-01 	 1.552086e+00
1.198669e+01 	 2.879135e-01 	 2.232061e-01 	  1.584987e-01 	 1.135304e+00
1.078833e+01 	 2.196283e-01 	 1.537082e-01 	  8.778806e-02 	 7.674302e-01
9.709767e+00 	 1.776348e-01 	 1.099742e-01 	  4.231372e-02 	 5.349530e-01
