AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 4.195124e-01 	 3.584082e-01 	  2.973040e-01 	 1.363080e+00
9.000254e+02 	 4.194315e-01 	 3.583274e-01 	  2.972232e-01 	 1.438437e+00
8.100456e+02 	 4.193310e-01 	 3.582268e-01 	  2.971226e-01 	 1.512667e+00
7.290616e+02 	 4.192057e-01 	 3.581016e-01 	  2.969974e-01 	 1.584369e+00
6.561739e+02 	 4.190494e-01 	 3.579452e-01 	  2.968411e-01 	 1.652234e+00
5.905732e+02 	 4.188538e-01 	 3.577497e-01 	  2.966455e-01 	 1.715123e+00
5.315308e+02 	 4.186086e-01 	 3.575045e-01 	  2.964003e-01 	 1.772121e+00
4.783912e+02 	 4.183002e-01 	 3.571961e-01 	  2.960919e-01 	 1.822560e+00
4.305642e+02 	 4.179111e-01 	 3.568069e-01 	  2.957028e-01 	 1.866002e+00
3.875187e+02 	 4.174184e-01 	 3.563142e-01 	  2.952100e-01 	 1.902205e+00
3.487767e+02 	 4.167922e-01 	 3.556880e-01 	  2.945838e-01 	 1.931061e+00
3.139079e+02 	 4.151858e-01 	 3.548891e-01 	  2.945925e-01 	 1.952527e+00
2.825250e+02 	 4.135606e-01 	 3.538664e-01 	  2.941722e-01 	 1.966550e+00
2.542797e+02 	 4.118314e-01 	 3.525533e-01 	  2.932752e-01 	 1.973005e+00
2.288582e+02 	 4.098990e-01 	 3.508640e-01 	  2.918290e-01 	 1.971638e+00
2.059782e+02 	 4.076466e-01 	 3.486900e-01 	  2.897334e-01 	 1.962027e+00
1.853856e+02 	 4.049377e-01 	 3.458978e-01 	  2.868579e-01 	 1.943568e+00
1.668517e+02 	 4.016168e-01 	 3.423297e-01 	  2.830426e-01 	 1.915499e+00
1.501708e+02 	 3.975172e-01 	 3.378120e-01 	  2.781069e-01 	 1.876986e+00
1.351575e+02 	 3.924803e-01 	 3.321747e-01 	  2.718691e-01 	 1.827286e+00
1.216452e+02 	 3.863925e-01 	 3.252883e-01 	  2.641840e-01 	 1.766017e+00
1.094837e+02 	 3.792412e-01 	 3.171212e-01 	  2.550013e-01 	 1.693526e+00
9.853815e+01 	 3.711842e-01 	 3.078107e-01 	  2.444373e-01 	 1.611291e+00
8.868683e+01 	 3.626019e-01 	 2.977170e-01 	  2.328322e-01 	 1.522153e+00
7.982040e+01 	 3.540675e-01 	 2.873976e-01 	  2.207276e-01 	 1.430048e+00
7.184038e+01 	 3.461521e-01 	 2.774170e-01 	  2.086818e-01 	 1.338912e+00
6.465817e+01 	 3.390440e-01 	 2.679747e-01 	  1.969054e-01 	 1.250862e+00
5.819399e+01 	 3.321691e-01 	 2.585356e-01 	  1.849020e-01 	 1.164776e+00
5.237607e+01 	 3.241978e-01 	 2.478495e-01 	  1.715012e-01 	 1.076927e+00
4.713979e+01 	 3.136272e-01 	 2.345474e-01 	  1.554675e-01 	 9.839260e-01
4.242700e+01 	 2.994691e-01 	 2.178387e-01 	  1.362082e-01 	 8.852794e-01
3.818538e+01 	 2.813328e-01 	 1.975910e-01 	  1.138493e-01 	 7.827499e-01
3.436781e+01 	 2.593572e-01 	 1.742374e-01 	  8.911749e-02 	 6.790598e-01
3.093190e+01 	 2.349343e-01 	 1.494448e-01 	  6.395524e-02 	 5.799166e-01
2.783950e+01 	 2.101600e-01 	 1.254950e-01 	  4.082994e-02 	 4.917224e-01
2.505625e+01 	 1.861407e-01 	 1.035308e-01 	  2.092080e-02 	 4.157523e-01
2.255126e+01 	 1.646600e-01 	 8.520887e-02 	  5.757787e-03 	 3.557809e-01
2.029671e+01 	 1.461811e-01 	 7.074430e-02 	  0.000000e+00 	 3.111042e-01
1.826755e+01 	 1.302660e-01 	 5.940467e-02 	  0.000000e+00 	 2.781050e-01
1.644126e+01 	 1.157113e-01 	 4.972211e-02 	  0.000000e+00 	 2.499622e-01
1.479755e+01 	 1.019434e-01 	 4.094570e-02 	  0.000000e+00 	 2.226859e-01
1.331817e+01 	 8.911832e-02 	 3.318767e-02 	  0.000000e+00 	 1.968451e-01
1.198669e+01 	 7.722155e-02 	 2.658744e-02 	  0.000000e+00 	 1.741932e-01
1.078833e+01 	 6.563729e-02 	 2.099904e-02 	  0.000000e+00 	 1.560594e-01
9.709767e+00 	 5.330323e-02 	 1.625069e-02 	  0.000000e+00 	 1.454962e-01
8.739037e+00 	 3.940008e-02 	 1.232329e-02 	  0.000000e+00 	 1.509828e-01
7.865355e+00 	 2.538494e-02 	 9.289206e-03 	  0.000000e+00 	 1.914545e-01
7.079019e+00 	 1.550735e-02 	 6.945228e-03 	  0.000000e+00 	 2.690934e-01
6.371296e+00 	 1.177932e-02 	 5.069698e-03 	  0.000000e+00 	 2.506579e-01
5.734328e+00 	 9.679734e-03 	 3.880645e-03 	  0.000000e+00 	 2.219943e-01
5.161041e+00 	 6.827539e-03 	 2.706549e-03 	  0.000000e+00 	 2.178773e-01
4.645068e+00 	 6.331712e-03 	 2.236267e-03 	  0.000000e+00 	 1.811424e-01
4.180679e+00 	 5.704606e-03 	 1.989813e-03 	  0.000000e+00 	 1.776950e-01
3.762717e+00 	 5.559445e-03 	 1.512445e-03 	  0.000000e+00 	 1.239779e-01
3.386540e+00 	 5.120759e-03 	 1.298977e-03 	  0.000000e+00 	 1.127544e-01
3.047972e+00 	 7.631663e-03 	 1.157637e-03 	  0.000000e+00 	 5.931925e-02
2.743252e+00 	 1.237418e-02 	 1.112144e-03 	  0.000000e+00 	 3.275982e-02
2.468997e+00 	 3.672096e-02 	 1.071607e-03 	  0.000000e+00 	 9.971986e-03
2.222160e+00 	 4.642832e-02 	 1.030264e-03 	  0.000000e+00 	 7.528510e-03
2.000000e+00 	 4.642832e-02 	 1.030264e-03 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 4.978956e-01 	 4.312549e-01 	  3.646143e-01 	 1.422615e+00
9.000254e+02 	 4.973350e-01 	 4.306943e-01 	  3.640537e-01 	 1.507088e+00
8.100456e+02 	 4.966431e-01 	 4.300025e-01 	  3.633618e-01 	 1.591122e+00
7.290616e+02 	 4.957894e-01 	 4.291487e-01 	  3.625080e-01 	 1.673016e+00
6.561739e+02 	 4.947359e-01 	 4.280952e-01 	  3.614545e-01 	 1.751065e+00
5.905732e+02 	 4.934361e-01 	 4.267955e-01 	  3.601548e-01 	 1.823650e+00
5.315308e+02 	 4.918329e-01 	 4.251922e-01 	  3.585515e-01 	 1.889319e+00
4.783912e+02 	 4.898556e-01 	 4.232149e-01 	  3.565743e-01 	 1.946832e+00
4.305642e+02 	 4.874179e-01 	 4.207772e-01 	  3.541366e-01 	 1.995179e+00
3.875187e+02 	 4.844137e-01 	 4.177731e-01 	  3.511324e-01 	 2.033548e+00
3.487767e+02 	 4.807135e-01 	 4.140728e-01 	  3.474322e-01 	 2.061271e+00
3.139079e+02 	 4.749040e-01 	 4.095188e-01 	  3.441335e-01 	 2.077744e+00
2.825250e+02 	 4.682688e-01 	 4.039197e-01 	  3.395706e-01 	 2.082335e+00
2.542797e+02 	 4.605451e-01 	 3.970460e-01 	  3.335470e-01 	 2.074298e+00
2.288582e+02 	 4.514314e-01 	 3.886251e-01 	  3.258187e-01 	 2.052698e+00
2.059782e+02 	 4.405848e-01 	 3.783388e-01 	  3.160927e-01 	 2.016354e+00
1.853856e+02 	 4.276236e-01 	 3.658266e-01 	  3.040296e-01 	 1.963838e+00
1.668517e+02 	 4.121400e-01 	 3.506986e-01 	  2.892571e-01 	 1.893522e+00
1.501708e+02 	 3.937317e-01 	 3.325674e-01 	  2.714031e-01 	 1.803762e+00
1.351575e+02 	 3.720682e-01 	 3.111153e-01 	  2.501624e-01 	 1.693264e+00
1.216452e+02 	 3.470152e-01 	 2.862193e-01 	  2.254234e-01 	 1.561789e+00
1.094837e+02 	 3.188560e-01 	 2.581731e-01 	  1.974901e-01 	 1.411374e+00
9.853815e+01 	 2.886545e-01 	 2.280512e-01 	  1.674479e-01 	 1.248342e+00
8.868683e+01 	 2.587682e-01 	 1.982235e-01 	  1.376787e-01 	 1.086116e+00
7.982040e+01 	 2.332415e-01 	 1.727500e-01 	  1.122585e-01 	 9.473734e-01
7.184038e+01 	 2.169221e-01 	 1.565000e-01 	  9.607793e-02 	 8.592439e-01
6.465817e+01 	 2.117274e-01 	 1.514215e-01 	  9.111569e-02 	 8.329635e-01
5.819399e+01 	 2.131599e-01 	 1.530603e-01 	  9.296062e-02 	 8.448668e-01
5.237607e+01 	 2.139708e-01 	 1.542268e-01 	  9.448275e-02 	 8.563733e-01
4.713979e+01 	 2.127144e-01 	 1.535533e-01 	  9.439224e-02 	 8.610351e-01
4.242700e+01 	 2.177010e-01 	 1.594441e-01 	  1.011873e-01 	 9.079442e-01
3.818538e+01 	 2.334571e-01 	 1.765255e-01 	  1.195939e-01 	 1.028613e+00
3.436781e+01 	 2.430998e-01 	 1.879988e-01 	  1.328979e-01 	 1.131863e+00
3.093190e+01 	 2.270534e-01 	 1.743271e-01 	  1.216008e-01 	 1.096820e+00
2.783950e+01 	 1.991177e-01 	 1.492737e-01 	  9.942977e-02 	 9.935018e-01
2.505625e+01 	 1.903171e-01 	 1.437406e-01 	  9.716404e-02 	 1.023788e+00
2.255126e+01 	 1.826002e-01 	 1.394822e-01 	  9.636434e-02 	 1.073146e+00
2.029671e+01 	 1.661308e-01 	 1.264338e-01 	  8.673673e-02 	 1.056580e+00
1.826755e+01 	 1.631131e-01 	 1.265717e-01 	  9.003035e-02 	 1.149078e+00
1.644126e+01 	 1.532161e-01 	 1.193587e-01 	  8.550126e-02 	 1.169494e+00
1.479755e+01 	 1.334110e-01 	 1.015772e-01 	  6.974343e-02 	 1.058536e+00
1.331817e+01 	 1.347617e-01 	 1.041061e-01 	  7.345056e-02 	 1.126587e+00
1.198669e+01 	 1.241156e-01 	 9.361032e-02 	  6.310499e-02 	 1.017995e+00
1.078833e+01 	 1.053216e-01 	 7.383467e-02 	  4.234779e-02 	 7.779082e-01
9.709767e+00 	 9.299275e-02 	 5.966076e-02 	  2.632876e-02 	 5.937795e-01
8.739037e+00 	 9.608518e-02 	 6.120352e-02 	  2.632186e-02 	 5.820724e-01
7.865355e+00 	 8.381208e-02 	 4.925117e-02 	  1.469027e-02 	 4.727474e-01
7.079019e+00 	 7.187670e-02 	 3.908593e-02 	  6.295168e-03 	 3.954273e-01
6.371296e+00 	 6.735535e-02 	 3.557648e-02 	  3.797618e-03 	 3.713833e-01
5.734328e+00 	 6.842436e-02 	 3.601574e-02 	  3.607127e-03 	 3.686630e-01
5.161041e+00 	 6.462208e-02 	 3.151539e-02 	  0.000000e+00 	 3.157944e-01
4.645068e+00 	 6.071879e-02 	 2.721383e-02 	  0.000000e+00 	 2.694501e-01
4.180679e+00 	 6.021678e-02 	 2.408645e-02 	  0.000000e+00 	 2.211559e-01
3.762717e+00 	 5.849909e-02 	 2.260000e-02 	  0.000000e+00 	 2.088444e-01
3.386540e+00 	 5.111383e-02 	 1.761464e-02 	  0.000000e+00 	 1.744364e-01
3.047972e+00 	 4.898584e-02 	 1.332527e-02 	  0.000000e+00 	 1.239611e-01
2.743252e+00 	 4.570217e-02 	 1.290068e-02 	  0.000000e+00 	 1.304718e-01
2.468997e+00 	 4.782791e-02 	 1.354029e-02 	  0.000000e+00 	 1.310051e-01
2.222160e+00 	 4.774646e-02 	 1.298881e-02 	  0.000000e+00 	 1.239700e-01
2.000000e+00 	 4.774646e-02 	 1.298881e-02 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2002  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 2.526931e-01 	 1.471149e-01 	  4.153678e-02 	 2.850773e-01
9.000254e+02 	 2.529385e-01 	 1.473603e-01 	  4.178216e-02 	 3.049069e-01
8.100456e+02 	 2.532388e-01 	 1.476606e-01 	  4.208247e-02 	 3.253870e-01
