AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 4.116084e-01 	 3.605847e-01 	  3.095610e-01 	 1.375608e+00
9.000254e+02 	 4.114534e-01 	 3.604296e-01 	  3.094059e-01 	 1.450682e+00
8.100456e+02 	 4.112623e-01 	 3.602386e-01 	  3.092148e-01 	 1.524562e+00
7.290616e+02 	 4.110268e-01 	 3.600031e-01 	  3.089794e-01 	 1.595815e+00
6.561739e+02 	 4.107369e-01 	 3.597132e-01 	  3.086894e-01 	 1.663099e+00
5.905732e+02 	 4.103800e-01 	 3.593562e-01 	  3.083325e-01 	 1.725240e+00
5.315308e+02 	 4.099410e-01 	 3.589172e-01 	  3.078935e-01 	 1.781287e+00
4.783912e+02 	 4.094014e-01 	 3.583777e-01 	  3.073540e-01 	 1.830535e+00
4.305642e+02 	 4.087390e-01 	 3.577153e-01 	  3.066916e-01 	 1.872514e+00
3.875187e+02 	 4.079269e-01 	 3.569032e-01 	  3.058795e-01 	 1.906958e+00
3.487767e+02 	 4.069327e-01 	 3.559090e-01 	  3.048853e-01 	 1.933745e+00
3.139079e+02 	 4.057181e-01 	 3.546944e-01 	  3.036706e-01 	 1.952839e+00
2.825250e+02 	 4.042377e-01 	 3.532140e-01 	  3.021903e-01 	 1.964231e+00
2.542797e+02 	 4.024388e-01 	 3.514151e-01 	  3.003914e-01 	 1.967886e+00
2.288582e+02 	 4.000525e-01 	 3.492372e-01 	  2.984219e-01 	 1.963710e+00
2.059782e+02 	 3.973604e-01 	 3.466123e-01 	  2.958641e-01 	 1.951530e+00
1.853856e+02 	 3.942857e-01 	 3.434660e-01 	  2.926463e-01 	 1.931094e+00
1.668517e+02 	 3.907519e-01 	 3.397202e-01 	  2.886885e-01 	 1.902098e+00
1.501708e+02 	 3.866872e-01 	 3.352970e-01 	  2.839067e-01 	 1.864234e+00
1.351575e+02 	 3.820301e-01 	 3.301248e-01 	  2.782195e-01 	 1.817263e+00
1.216452e+02 	 3.767374e-01 	 3.241469e-01 	  2.715565e-01 	 1.761111e+00
1.094837e+02 	 3.707922e-01 	 3.173302e-01 	  2.638683e-01 	 1.695971e+00
9.853815e+01 	 3.642102e-01 	 3.096725e-01 	  2.551348e-01 	 1.622399e+00
8.868683e+01 	 3.570373e-01 	 3.012021e-01 	  2.453669e-01 	 1.541351e+00
7.982040e+01 	 3.493316e-01 	 2.919629e-01 	  2.345942e-01 	 1.454134e+00
7.184038e+01 	 3.411198e-01 	 2.819755e-01 	  2.228313e-01 	 1.362230e+00
6.465817e+01 	 3.323291e-01 	 2.711752e-01 	  2.100214e-01 	 1.267003e+00
5.819399e+01 	 3.227115e-01 	 2.593452e-01 	  1.959789e-01 	 1.169422e+00
5.237607e+01 	 3.118118e-01 	 2.460951e-01 	  1.803783e-01 	 1.069987e+00
4.713979e+01 	 2.990428e-01 	 2.309481e-01 	  1.628534e-01 	 9.690651e-01
4.242700e+01 	 2.838953e-01 	 2.135594e-01 	  1.432234e-01 	 8.675469e-01
3.818538e+01 	 2.661831e-01 	 1.939594e-01 	  1.217358e-01 	 7.673319e-01
3.436781e+01 	 2.461158e-01 	 1.726082e-01 	  9.910058e-02 	 6.709354e-01
3.093190e+01 	 2.241663e-01 	 1.502186e-01 	  7.627090e-02 	 5.804310e-01
2.783950e+01 	 2.011439e-01 	 1.277707e-01 	  5.439747e-02 	 4.975598e-01
2.505625e+01 	 1.785162e-01 	 1.067806e-01 	  3.504502e-02 	 4.253138e-01
2.255126e+01 	 1.576884e-01 	 8.856292e-02 	  1.943741e-02 	 3.660709e-01
2.029671e+01 	 1.390407e-01 	 7.329786e-02 	  7.555039e-03 	 3.185625e-01
1.826755e+01 	 1.228311e-01 	 6.099702e-02 	  0.000000e+00 	 2.818595e-01
1.644126e+01 	 1.082381e-01 	 5.061185e-02 	  0.000000e+00 	 2.509480e-01
1.479755e+01 	 9.485302e-02 	 4.157870e-02 	  0.000000e+00 	 2.229999e-01
1.331817e+01 	 8.236543e-02 	 3.354751e-02 	  0.000000e+00 	 1.963508e-01
1.198669e+01 	 7.089494e-02 	 2.677055e-02 	  0.000000e+00 	 1.733526e-01
1.078833e+01 	 5.987713e-02 	 2.108479e-02 	  0.000000e+00 	 1.553012e-01
9.709767e+00 	 4.837669e-02 	 1.629554e-02 	  0.000000e+00 	 1.451345e-01
8.739037e+00 	 3.573993e-02 	 1.236870e-02 	  0.000000e+00 	 1.512147e-01
7.865355e+00 	 2.324771e-02 	 9.358455e-03 	  0.000000e+00 	 1.925205e-01
7.079019e+00 	 1.437875e-02 	 6.979992e-03 	  0.000000e+00 	 2.695552e-01
6.371296e+00 	 1.091563e-02 	 5.121576e-03 	  0.000000e+00 	 2.525650e-01
5.734328e+00 	 8.861628e-03 	 3.871965e-03 	  0.000000e+00 	 2.217236e-01
5.161041e+00 	 6.233860e-03 	 2.693486e-03 	  0.000000e+00 	 2.173788e-01
4.645068e+00 	 5.754070e-03 	 2.222766e-03 	  0.000000e+00 	 1.798500e-01
4.180679e+00 	 5.208357e-03 	 2.004031e-03 	  0.000000e+00 	 1.786979e-01
3.762717e+00 	 4.982214e-03 	 1.502065e-03 	  0.000000e+00 	 1.233226e-01
3.386540e+00 	 4.591530e-03 	 1.303384e-03 	  0.000000e+00 	 1.132590e-01
3.047972e+00 	 6.708578e-03 	 1.165391e-03 	  0.000000e+00 	 6.007088e-02
2.743252e+00 	 1.082985e-02 	 1.108386e-03 	  0.000000e+00 	 3.257698e-02
2.468997e+00 	 3.170233e-02 	 1.084783e-03 	  0.000000e+00 	 1.012335e-02
2.222160e+00 	 4.019139e-02 	 1.035395e-03 	  0.000000e+00 	 7.555432e-03
2.000000e+00 	 4.019139e-02 	 1.035395e-03 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 4.905824e-01 	 4.359255e-01 	  3.812685e-01 	 1.442480e+00
9.000254e+02 	 4.899282e-01 	 4.352713e-01 	  3.806144e-01 	 1.527111e+00
8.100456e+02 	 4.891219e-01 	 4.344649e-01 	  3.798080e-01 	 1.611227e+00
7.290616e+02 	 4.881282e-01 	 4.334712e-01 	  3.788143e-01 	 1.693085e+00
6.561739e+02 	 4.869042e-01 	 4.322472e-01 	  3.775903e-01 	 1.770928e+00
5.905732e+02 	 4.853973e-01 	 4.307404e-01 	  3.760834e-01 	 1.843087e+00
5.315308e+02 	 4.835434e-01 	 4.288864e-01 	  3.742295e-01 	 1.908051e+00
4.783912e+02 	 4.812643e-01 	 4.266074e-01 	  3.719504e-01 	 1.964526e+00
4.305642e+02 	 4.784654e-01 	 4.238085e-01 	  3.691516e-01 	 2.011445e+00
3.875187e+02 	 4.750325e-01 	 4.203756e-01 	  3.657187e-01 	 2.047943e+00
3.487767e+02 	 4.708285e-01 	 4.161716e-01 	  3.615147e-01 	 2.073309e+00
3.139079e+02 	 4.656903e-01 	 4.110334e-01 	  3.563764e-01 	 2.086907e+00
2.825250e+02 	 4.594257e-01 	 4.047687e-01 	  3.501118e-01 	 2.088101e+00
2.542797e+02 	 4.518113e-01 	 3.971544e-01 	  3.424975e-01 	 2.076184e+00
2.288582e+02 	 4.419975e-01 	 3.879359e-01 	  3.338743e-01 	 2.050325e+00
