Time,AI-2020,Quality,AI-2021,Quality,AI-2022,Quality,FIC-2100,Quality,FIC-2101,Quality,FIC-2102,Quality,FI-2005,Quality,FIC-2001,Quality,FIC-2002,Quality,FIC-2004,Quality,QI-2106,Quality,TIC-2003,Quality
,AI-2020,,AI-2021,,AI-2022,,FIC-2100,,FIC-2101,,FIC-2102,,FI-2005,,FIC-2001,,FIC-2002,,FIC-2004,,QI-2106,,TIC-2003,
,OVERHEAD C5'S,,MIDDLE C7'S,,BOTTOM C3'S,,FEED FURNACE FUEL,,TOP PRODUCT,,BOTTOM PRODUCT,,Feed Flow,,TOP REFLUX SETPOINT,,MIDDLE PRODUCT DRAW SETPOINT,,MIDDLE REFLUX SETPOINT,,MIDDLE REFLUX DUTY,,FEED TEMPERATURE SETPOINT,
,MOL,,MOL,,MOL,,NRG/H,,MBBL/D,,MBBL/D,,MBbl/d,,MBBL/D,,MBBL/D,,MBBL/D,,NRG/H,,DEG F,
10-01-2015 08:14:00,2.,G,3.,G,4.,G,8.5,G,2.1,G,1.7,G,5.02153,G,2.5,G,1.5,G,8.,G,2.,G,200.,G
10-01-2015 08:15:00,2.0036,G,3.00954,G,3.99831,G,8.50735,G,2.09686,G,1.7173,G,4.98768,G,2.5,G,1.5,G,8.,G,1.99772,G,200.,G
10-01-2015 08:16:00,2.0087,G,2.99518,G,3.97746,G,8.50977,G,2.0928,G,1.725,G,4.9399,G,2.5,G,1.5,G,8.,G,1.99552,G,200.,G
10-01-2015 08:17:00,2.00385,G,3.01356,G,3.97262,G,8.50838,G,2.08587,G,1.71878,G,4.93333,G,2.5,G,1.5,G,8.,G,1.99483,G,200.,G
10-01-2015 08:18:00,1.99852,G,3.02963,G,3.98841,G,8.50365,G,2.08028,G,1.7136,G,4.9688,G,2.5,G,1.5,G,8.,G,1.99465,G,200.,G
10-01-2015 08:19:00,1.9971,G,3.0257,G,3.99264,G,8.50548,G,2.08422,G,1.70197,G,4.95926,G,2.5,G,1.5,G,8.,G,1.99595,G,200.,G
10-01-2015 08:20:00,2.0026,G,3.03318,G,3.994,G,8.50693,G,2.08955,G,1.71025,G,4.95702,G,2.5,G,1.5,G,8.,G,1.99943,G,200.,G
